patent_id,section_code,subclass
10555439,H,H05K
10555439,C,C09K
10555439,G,G02B
10555439,H,H01L
10555439,H,H01R
10555445,H,H05K
10555445,B,B29C
10555445,B,B32B
10555445,Y,Y10T
10555468,A,A01H
10555468,C,C12N
10602659,A,A01D
10555527,C,C12N
10555527,A,A01N
10555532,A,A01H
10555532,A,A01N
10555532,C,C12N
10555532,C,C12R
10602730,A,A01K
10602734,A,A01M
10602734,A,A01B
10602734,A,A01G
10602736,A,A01M
10602736,B,B60P
10555546,A,A23G
10555546,B,B02C
10555553,A,A24D
10555554,A,A61M
10555554,A,A24F
10555554,B,B65D
10602784,A,A41D
10555637,A,A47J
10555650,A,A47L
10555656,A,A47L
10555656,G,G05D
10555659,A,A47L
10555666,A,A61B
10602859,A,A47F
10602859,A,A47B
10555675,A,A61B
10555675,G,G06T
10555675,G,G16H
10602906,A,A47L
10555694,A,A61B
10555694,A,A61M
10555694,G,G01N
10555694,H,H01J
10602913,A,A61B
10602924,A,A61B
10555701,A,A61B
10555701,A,A61C
10555710,A,A61B
10555710,A,A61N
10555710,G,G16H
10555710,G,G21K
10602937,A,A61B
10555724,A,A61B
10555731,A,A61B
10602948,A,A61B
10602948,A,A61N
10602953,A,A61B
10555750,A,A61B
10602969,A,A61B
10602978,A,A61B
10602978,G,G16H
10602982,A,A61B
10602982,A,A61M
10602982,Y,Y10T
10602990,A,A61B
10555776,A,A61B
10555776,G,G01R
10555777,A,A61B
10555777,A,A61G
10603007,A,A61B
10603007,G,G16H
10555798,A,A61F
10555798,A,A61B
10555805,A,A61F
10555827,A,A61F
10555835,A,A61F
10555843,A,A61F
10555855,A,A61G
10555867,A,A61H
10555870,A,A61H
10555870,A,A61N
10555870,A,A61M
10555871,A,A61J
10555871,A,A61M
10555878,A,A61K
10555878,A,A61Q
10555878,B,B29C
10603124,A,A61B
10603124,B,B25J
10603124,G,G05B
10603124,Y,Y10S
10603126,A,A61B
10555907,A,A61K
10555907,A,A61P
10603130,A,A61B
10555926,A,A61K
10555926,A,A61P
10555926,C,C12Q
10555926,G,G01N
10603161,A,A61F
10603161,A,A61B
10603161,A,A61H
10603161,A,A61J
10603164,A,A61F
10603167,A,A61F
10555947,A,A61K
10555947,A,A61P
10555951,A,A61K
10555951,A,A61P
10603192,A,A61F
10555977,A,A61K
10555977,A,A61P
10555982,A,A61K
10555982,A,A61P
10603217,A,A61F
10603217,A,A61B
10603229,A,A61F
10603233,A,A61G
10603233,Y,Y10T
10603237,F,F16B
10603237,A,A61G
10603240,A,A61H
10603240,A,A61F
10603246,A,A61H
10556011,A,A61K
10556016,A,A61K
10556016,A,A61B
10556016,C,C07K
10556016,B,B82Y
10603261,A,A61K
10603261,A,A61Q
10603269,A,A61K
10603269,A,A61Q
10603269,C,C08F
10556032,A,A61L
10556032,G,G06T
10556038,A,A61L
10556038,A,A61F
10556038,C,C09J
10603288,A,A61K
10603288,A,A61P
10556077,A,A61M
10556077,A,A61B
10603332,A,A61K
10603332,A,A23G
10603332,A,A23L
10603332,A,A61P
10556135,A,A62B
10556135,A,A61M
10556135,C,C01B
10556179,A,A63F
10556179,G,G06F
10556179,H,H04R
10556186,A,A63G
10556186,B,B61D
10556192,B,B01D
10556192,Y,Y02P
10556198,B,B01D
10556220,B,B01J
10556220,C,C02F
10556220,B,B01D
10603433,A,A61M
10603433,G,G16H
10556224,B,B01J
10556224,B,B01D
10603448,A,A61M
10603455,A,A61M
10556234,B,B01L
10556234,C,C12N
10556234,C,C12Q
10556234,G,G01N
10556246,B,B05B
10556246,B,B01J
10603493,A,A61N
10603493,A,A61L
10603493,G,G01N
10603493,H,H10F
10556283,B,B23K
10556283,B,B60R
10556283,H,H01B
10556283,H,H02G
10603510,A,A61N
10603510,A,A61K
10603537,A,A63B
10603559,A,A63B
10603559,F,F41J
10603559,F,F42B
10603565,A,A63B
10603565,B,B62B
10603572,A,A63F
10603586,A,A63F
10603586,H,H04L
10603603,B,B01D
10603603,E,E03B
10603603,F,F25B
10603603,F,F24F
10603603,Y,Y02A
10603617,B,B01D
10603617,F,F01N
10603617,H,H05B
10603617,Y,Y02T
10603637,B,B01D
10603637,A,A61M
10603637,B,B60B
10603637,C,C02F
10603639,B,B01D
10603639,C,C01G
10603639,C,C08F
10603639,C,C08G
10603639,C,C08L
10603639,H,H01M
10603639,C,C01P
10603639,Y,Y02E
10603642,B,B01F
10603642,F,F01N
10603642,Y,Y02T
10556444,B,B41J
10556444,G,G06K
10556444,H,H04N
10556476,B,B60G
10556476,A,A01B
10556476,A,A01C
10556476,B,B62D
10603710,B,B21D
10603718,B,B22F
10603718,B,B05B
10603718,B,B33Y
10603718,B,B41J
10603718,Y,Y02P
10603729,B,B23D
10603729,B,B23K
10603729,B,B28D
10603729,C,C23C
10603733,B,B23K
10603733,C,C22C
10603734,B,B23K
10603748,B,B29C
10603748,B,B22F
10603748,B,B23K
10603748,B,B33Y
10603748,Y,Y02P
10603750,B,B23Q
10603750,F,F16B
10603768,B,B25B
10603768,B,B25C
10603768,B,B25F
10603768,F,F16B
10603768,Y,Y10T
10603782,B,B25H
10603787,B,B25J
10603787,H,H01R
10603787,H,H02G
10603797,B,B25J
10603797,G,G06N
10603797,G,G05B
10556554,B,B60R
10556559,B,B60R
10556559,B,B60J
10556559,B,B62D
10603812,B,B27M
10603812,B,B27D
10603812,B,B27K
10603812,B,B32B
10556584,B,B60W
10556584,A,A47L
10556584,G,G01B
10556584,G,G05D
10556584,G,G06V
10603835,B,B29C
10556604,B,B61L
10603858,B,B29D
10603858,G,G01M
10603858,A,A61B
10603858,F,F16K
10603858,F,F17D
10603861,B,B31B
10556617,B,B62D
10556617,B,B60K
10556617,Y,Y02T
10556622,B,B62D
10556622,B,B60D
10556622,B,B60K
10556622,B,B60Y
10556623,B,B62D
10556623,B,B29L
10556623,B,B60G
10556624,B,B62D
10556624,B,B60K
10556624,B,B60N
10556624,C,C21D
10556627,B,B62D
10556627,B,B29C
10556627,B,B60G
10556647,B,B63B
10556647,C,C08L
10556654,B,B63C
10603891,C,C25D
10603891,B,B28B
10603891,B,B29C
10603891,B,B33Y
10603891,C,C04B
10603891,C,C23C
10603891,B,B29K
10603909,B,B41J
10603909,C,C09D
10603910,B,B41J
10556743,B,B65G
10556743,G,G06Q
10556743,Y,Y10S
10556744,B,B65G
10556744,B,B62D
10556744,B,B66F
10556744,Y,Y10T
10603938,B,B41J
10603938,G,G06K
10603947,B,B43K
10556764,B,B65H
10603952,B,B60B
10556764,H,H04N
10603952,B,B60T
10603952,F,F16D
10556770,B,B65H
10556770,A,A61F
10556780,B,B66F
10556780,G,G01B
10603977,B,B60H
10604000,B,B60K
10604000,F,F16H
10604000,B,B60Y
10604000,Y,Y02T
10556824,C,C03C
10556835,C,C04B
10556835,A,A61K
10604032,B,B60N
10604032,B,B60R
10604033,B,B60N
10604037,B,B60N
10604039,B,B60N
10604039,B,B44B
10604039,B,B44C
